Array,SimSub,AIC_TD,AIC_TDRS,RealAlphaPos,RealAlphaNeg,RealBeta,RecAlphaPos,RecAlphaNeg,RecBeta
1,1,143.4086709,138.5012435,0.068960833,0.512062198,2.337978527,0.333456673,0.754883394,3.578336442
1,2,68.88693977,60.39527233,0.204679447,0.280772479,17.92266625,0.19198449,0.255426416,21.18224523
1,3,146.454496,147.6139268,0.451314398,0.644580395,3.175109364,0.453052864,0.656419345,2.169205671
1,4,64.6214063,58.16673468,0.9158816,0.685406432,12.46614074,0.889902275,0.635957569,13.04528233
1,5,126.933312,128.7659869,0.702083477,0.633849421,4.730519062,0.714579395,0.63284374,3.44024779
1,6,126.130537,128.189322,0.834910948,0.781863315,4.138786901,0.653898803,0.709537812,3.537197091
1,7,78.13456075,78.05807501,0.246763276,0.23285457,14.27706262,0.301640581,0.236536592,12.75618282
1,8,61.77708383,63.16843808,0.594403492,0.465523889,12.13499677,0.525041409,0.463611579,12.72561175
1,9,60.41239952,62.17084262,0.516303722,0.680670463,18.1431881,0.574655649,0.616557348,12.83040933
1,10,36.37644982,38.51057189,0.95248827,0.903458702,22.14908108,0.792695545,0.922945067,14.73450767
1,11,48.60711295,32.11178549,0.500039371,0.832883424,28.43496786,0.525116607,0.846730163,19.70900837
1,12,47.74409909,48.1285967,0.520529912,0.356556069,21.29136016,0.421389646,0.355271352,18.97895091
1,13,151.5379032,58.25438774,0.001549698,0.769463284,10.62155118,0.020198944,0.49373364,11.88886433
1,14,145.7932143,141.0994602,0.147536584,0.208006294,3.971898126,0.118907693,0.281641022,4.079910576
1,15,54.84389881,44.98433892,0.482558863,0.8435411,11.69733338,0.501722753,0.770295166,15.25014595
1,16,43.23088968,35.69864123,0.544314442,0.794601112,29.58988169,0.514369815,0.800524305,16.92782821
1,17,118.7391365,78.37981997,0.909166068,0.045980121,8.737402667,0.589220093,0.031700236,8.566352848
1,18,102.2418071,36.75873397,0.970390584,0.060145617,25.08430525,0.793808115,0.111272812,15.57365862
1,19,80.53474941,49.37548819,0.278328812,0.577956388,17.21577614,0.316979893,0.716062674,15.42223919
1,20,100.1082546,60.1148911,0.256965457,0.025577398,26.34815972,0.432840456,0.073099493,11.255847
1,21,68.49996318,60.71450167,0.388264673,0.281224189,18.15203434,0.404208014,0.291058662,14.89039761
1,22,94.94443732,88.53876923,0.917457104,0.533494686,5.598375042,0.796551244,0.470358374,7.62836631
1,23,48.56767071,40.49742285,0.989433922,0.548778491,16.02696126,0.765952974,0.510724315,18.74183225
1,24,85.54606478,69.30049287,0.212514526,0.353876984,16.4186887,0.288402025,0.479488833,13.60887213
1,25,127.2836411,127.9815225,0.873286276,0.49338266,2.725888992,0.785931098,0.614300693,3.535603987
1,26,82.9407788,70.77073776,0.729048849,0.4129464,12.64783496,0.802324597,0.41674236,10.32706327
1,27,153.1047525,40.49494579,0.041140731,0.788272242,23.54529476,0.048227024,0.657504132,16.326407
1,28,59.38443237,50.61430883,0.505418438,0.339728299,17.10418492,0.59433529,0.37264514,16.0504131
