Array,SimSub,AIC_TD,AIC_TDRS,RealAlpha,RealBeta,RecAlpha,RecBeta
1,1,80.31723343,82.3597355,0.363781074,14.37064706,0.434328495,11.7212385
1,2,47.95563116,47.24873664,0.693934248,14.84901869,0.638384056,15.09126111
1,3,56.22321461,57.65619749,0.550972147,21.61991907,0.558457441,14.03860234
1,4,79.54869446,78.6901672,0.344814675,16.31488586,0.298951129,11.18157887
1,5,116.2417551,117.9497506,0.17576911,9.565737777,0.328953663,6.559639619
1,6,123.5442214,126.1264545,0.120549359,11.61628378,0.158133421,6.32542199
1,7,81.78643173,84.48625555,0.92661153,5.839473197,0.897024423,6.815650258
1,8,32.88669571,35.18766301,0.870003645,20.13660499,0.867049633,15.95661738
1,9,29.25488561,31.07829353,0.791643997,23.42128304,0.845856408,17.3548351
1,10,49.71861051,50.69672422,0.502336111,18.03065322,0.411364328,18.12954484
1,11,78.18265713,79.7301489,0.62037513,16.39207772,0.671676445,10.46028258
1,12,51.35516539,53.60036224,0.222624444,29.785899,0.21197614,19.36922275
1,13,26.5618525,28.19018431,0.942779605,23.09836168,0.951802974,16.21121986
1,14,74.45759232,76.39218664,0.753373456,9.904365795,0.771225734,8.455642392
1,15,48.45664726,49.85407115,0.695361705,24.19607401,0.666721136,15.56543539
1,16,113.4008273,109.749914,0.039444784,29.34611646,0.089472382,9.484420765
1,17,51.99976477,53.79641396,0.49739174,18.24317285,0.57838079,14.55009689
1,18,155.1778622,157.1846559,0.00261691,17.68528566,0.42247706,0.364051253
1,19,55.83269222,57.72300255,0.529768497,14.55607403,0.612549139,13.2208034
1,20,105.5360567,107.7691245,0.208898312,7.361784307,0.236233119,7.777875174
1,21,68.89176965,68.0765876,0.300576646,13.535464,0.40432389,11.84912827
1,22,148.8102261,150.7637068,0.302067983,3.673882689,0.443751708,1.866207341
1,23,35.3155414,36.22341647,0.782993028,17.16473756,0.820896835,13.64265366
1,24,142.1123846,144.5200106,0.057425876,5.756303652,0.203307968,3.050977568
1,25,41.37244961,42.72814921,0.734161938,17.24227743,0.704381885,16.74178625
1,26,103.4819711,101.7981519,0.332420472,10.44963324,0.413193849,7.200738001
1,27,60.25754511,53.14219308,0.73394576,17.00039011,0.707573404,29.99999594
1,28,147.7090783,150.1039802,0.80912428,0.912306162,0.758338137,1.458125985
1,29,140.1720601,143.1796592,0.954240844,1.347604397,0.834372436,2.010772449
1,30,139.2939791,141.2957019,0.431736053,3.636059515,0.442583046,2.881758514
1,31,25.20724279,27.11108587,0.831232451,24.51638725,0.831197594,18.54108841
1,32,55.4975676,57.87210563,0.807355698,10.55287786,0.857144716,10.54097498
1,33,109.5989071,106.5963112,0.307746151,8.706539231,0.411042971,6.790016463
1,34,45.7613919,54.25174141,0.856024966,14.91892048,0.843980872,13.0393595
1,35,89.6167874,91.66254855,0.07879071,17.85389006,0.176381702,12.8509828
1,36,26.37341089,27.7735352,0.675559818,22.71460205,0.693690371,20.94495688
1,37,22.65031234,24.64782647,0.736171946,29.0642969,0.764346541,20.10164144
1,38,80.4379463,95.77301891,0.350598563,12.78288319,0.432439042,10.4391188
1,39,148.1403515,145.0674082,0.424627113,3.199641986,0.605707926,1.600648252
1,40,61.32999794,61.066535,0.364346142,17.42430399,0.32314135,15.21730714
1,41,39.09961222,41.35195479,0.807496804,11.21132861,0.812809449,14.54441195
1,42,138.266263,140.0472642,0.924306713,1.709713126,0.481974926,2.861685263
1,43,65.30651917,64.64133395,0.146990722,29.60742475,0.191571783,17.96478137
1,44,68.26970154,70.44137438,0.780972847,14.54492255,0.799340531,9.180063959
1,45,90.74902829,92.08885571,0.159989211,10.12919914,0.216600483,11.8587813
1,46,26.83186275,28.8695622,0.76995213,24.06302614,0.770228434,19.67617837
1,47,104.1270978,105.940716,0.351621478,7.786269237,0.199291503,8.86093487
1,48,106.3992773,106.3072993,0.234771963,7.144859787,0.298666467,7.964522645
1,49,102.491854,104.1989613,0.202994653,10.2271309,0.453913911,6.779340046
1,50,23.24557276,25.6432359,0.818754762,24.72905084,0.882965592,19.34183366
1,51,70.04088595,72.38832777,0.181917948,27.17276785,0.186635049,15.28843744
1,52,33.65830295,35.42292305,0.732026727,23.69724962,0.785074874,17.3687449
1,53,149.1053268,151.0678008,0.151120688,1.188689616,0.275075205,1.943146305
1,54,53.15963519,53.78085973,0.589662322,13.55715564,0.470556567,14.81842571
1,55,63.80058846,65.99576898,0.114682399,18.88804465,0.237379494,15.49008914
1,56,139.5420891,141.7196288,0.022472822,12.4675262,0.093569033,4.484274507
1,57,121.32146,123.1450735,0.551314401,6.442042782,0.525387847,5.226342104
1,58,34.94791037,37.28425122,0.786169397,17.77005703,0.87372381,14.58861095
1,59,142.0785551,148.1984806,0.423787201,3.573218743,0.467406344,2.359913477
1,60,101.2683476,103.0824982,0.296686578,7.794890514,0.267882299,8.301986297
1,61,36.41698286,37.21279257,0.557955819,20.83672025,0.649807102,17.97601302
1,62,41.26598754,43.09369864,0.488307317,26.75538524,0.563502517,15.95292086
1,63,81.33673885,82.57350134,0.568583098,8.050693407,0.662515104,9.121853624
1,64,57.95709173,59.05604765,0.266154874,20.08262563,0.352051411,16.62238592
1,65,81.31960004,82.9394832,0.804117285,7.138762029,0.821343249,7.435124902
1,66,150.5067098,152.6983863,0.293326033,0.433428131,0.296706156,1.594386867
1,67,65.46605478,63.88202512,0.673214691,11.10543448,0.570945127,12.35949947
1,68,40.64710481,42.16069136,0.588617474,12.79952564,0.5689827,17.08749562
1,69,80.0135128,81.71078167,0.4622386,14.24941039,0.414602691,10.35376821
1,70,144.6787936,148.3070065,0.013656242,15.76626967,0.096642927,3.342456745
1,71,29.19278442,30.03131125,0.877891651,22.324591,0.930204389,16.408155
1,72,76.29124013,78.65732375,0.925131928,9.36806027,0.87950776,7.644044873
1,73,19.8132217,24.83535811,0.958503839,29.55967357,0.910354124,29.99999974
1,74,94.80761551,97.66323709,0.940898681,7.10478824,0.909261114,6.197627973
1,75,100.6314758,102.7103357,0.064465284,16.8457304,0.119202778,10.76810153
1,76,134.600074,135.2749899,0.595829128,4.154952022,0.493115302,3.598194784
1,77,17.66577219,19.2602841,0.9390425,20.39191224,0.888930869,18.90572214
1,78,37.19639553,39.59044826,0.996962207,21.18688856,0.97397538,13.22652756
1,79,150.9509383,152.5305666,0.092827723,0.97196145,0.237465891,1.618027867
1,80,62.05514519,62.30107374,0.205256927,21.46356434,0.205532681,20.11355773
1,81,132.4710875,124.474483,0.330641851,4.046200085,0.01063455,29.99995438
1,82,84.74342694,87.13239353,0.053793342,28.94943063,0.107226809,15.24716422
1,83,33.38813053,36.98050439,0.721023974,19.99235831,0.678987485,29.99996434
1,84,47.51088651,42.86555817,0.640348156,15.48319421,0.64383864,14.69581318
1,85,48.78461821,50.53792963,0.31439817,29.52956742,0.295801758,21.28638376
1,86,70.22422185,69.77891492,0.41484115,17.05583849,0.448611,12.50571754
1,87,151.3425292,151.5752041,0.571373991,2.230981524,0.495114888,1.331288259
1,88,78.42527193,80.10739851,0.372863837,14.83989048,0.377638638,12.08056338
1,89,32.48719924,34.66457094,0.787533161,28.08593114,0.850099145,17.23786789
1,90,81.91849869,84.25665596,0.863215394,9.442854691,0.855649878,6.811910664
