SubjectNumber,Age,AlphaPos,AlphaNeg,Beta,AsymmIdx,MeanRiskAll_sim,MeanRiskBlockEqEV1_sim,MeanRiskBlockEqEV2_sim,MeanRiskBlockEqEV3_sim,MeanRiskOverallEqEV_sim,MeanRiskBlockUnEqEV1_sim,MeanRiskBlockUnEqEV2_sim,MeanRiskBlockUnEqEV3_sim,MeanRiskOverallUnEqEV_sim,MeanTestBlock1_sim,MeanTestBlock2_sim,MeanTestBlock3_sim,MeanTestBlocks2and3_sim,UsableData_sim,MeanRiskEq040_sim,MeanRiskEq080_sim
1,27,0.578841285093794,0.162882136186875,2.25824593648525,0.560800882070999,0.626212121212121,0.511428571428571,0.605714285714286,0.592142857142857,0.569761904761905,0.66875,0.7525,0.75375,0.725,0.582142857142857,0.707857142857143,0.692857142857143,0.700357142857143,0.87,0.548333333333333,0.598333333333333
2,12,0.227491035670378,0.604963340951626,4.91346954534833,-0.453445036607271,0.358939393939394,0.304285714285714,0.292142857142857,0.321428571428571,0.305952380952381,0.43375,0.465,0.45625,0.451666666666667,0.676428571428571,0.762142857142857,0.728571428571428,0.745357142857143,0.96,0.354166666666667,0.241666666666667
3,19,0.0682876194244688,0.624720459901475,2.53048410443998,-0.802924030868765,0.361969696969697,0.362857142857143,0.328571428571429,0.330714285714286,0.340714285714286,0.40625,0.39125,0.4,0.399166666666667,0.632142857142858,0.637142857142857,0.632857142857143,0.635,0.7,0.393333333333333,0.270555555555555
4,11,0.735605817631787,0.194576395616178,5.20260331919184,0.581638107362287,0.796363636363636,0.697142857142858,0.738571428571429,0.729285714285714,0.721666666666667,0.895,0.94625,0.94,0.927083333333333,0.691428571428571,0.819285714285714,0.82,0.819642857142857,1,0.657083333333333,0.807777777777777
5,12,0.296740094631335,0.221847257555346,4.47901039410548,0.144417014337499,0.609090909090909,0.510714285714286,0.551428571428572,0.542857142857143,0.535,0.63375,0.7925,0.79,0.73875,0.682857142857143,0.777142857142857,0.804285714285714,0.790714285714286,1,0.519166666666667,0.556111111111111
6,23,0.147092494336634,0.156783936653278,11.877736767642,-0.0318927081151817,0.62969696969697,0.412142857142857,0.509285714285714,0.533571428571429,0.485,0.78125,0.93375,0.93375,0.882916666666667,0.809285714285714,0.921428571428572,0.950714285714286,0.936071428571428,1,0.493333333333334,0.473888888888889
7,10,0.210398137335747,0.0982859576139241,5.27465945684201,0.363193898085686,0.693787878787879,0.6,0.637142857142857,0.669285714285714,0.635476190476191,0.62625,0.88125,0.88,0.795833333333333,0.682142857142857,0.792857142857143,0.817857142857143,0.805357142857143,1,0.590416666666667,0.695555555555556
8,22,0.0912721339313258,0.382245519259825,2.28438133607529,-0.614493215548689,0.423181818181818,0.422857142857143,0.382142857142857,0.389285714285714,0.398095238095238,0.46875,0.4775,0.455,0.467083333333333,0.614285714285715,0.648571428571429,0.66,0.654285714285714,0.76,0.43375,0.350555555555556
9,19,0.142611501218279,0.182627572860874,6.505371440752,-0.12303586755648,0.517878787878788,0.454285714285714,0.416428571428571,0.408571428571428,0.426428571428571,0.64125,0.69875,0.69375,0.677916666666667,0.649285714285714,0.830714285714286,0.848571428571429,0.839642857142857,0.99,0.474583333333333,0.362222222222222
10,16,0.175167528165505,0.28971300938289,7.61777144020792,-0.246397669864726,0.44893939393939303,0.375714285714286,0.312857142857143,0.32,0.336190476190476,0.585,0.6625,0.69125,0.64625,0.73,0.848571428571429,0.89,0.869285714285714,1,0.390416666666667,0.263888888888889
11,10,0.191197767504683,0.289357608022123,5.10452338782012,-0.204263328466222,0.493181818181818,0.426428571428571,0.423571428571428,0.394285714285714,0.414761904761905,0.60625,0.71125,0.57375,0.630416666666667,0.726428571428572,0.802857142857143,0.798571428571429,0.800714285714286,1,0.457916666666667,0.357222222222222
12,25,0.132725955193275,0.142282117654196,6.74267188649777,-0.0347486616010054,0.573030303030304,0.517142857142857,0.453571428571428,0.475,0.481904761904762,0.64875,0.74625,0.8025,0.7325,0.701428571428572,0.830714285714286,0.862857142857143,0.846785714285714,1,0.499166666666667,0.458888888888889
13,14,0.708262848092886,0.0864126211036061,3.08076324359535,0.782520980065035,0.709242424242424,0.552142857142857,0.688571428571429,0.705714285714286,0.648809523809524,0.73875,0.84375,0.8625,0.815,0.59,0.695,0.720714285714286,0.707857142857143,0.89,0.591666666666666,0.725
14,27,0.087721397551352,0.339767098843878,4.68798588098406,-0.589596453279761,0.341060606060606,0.352142857142857,0.249285714285714,0.282857142857143,0.294761904761905,0.42125,0.40375,0.44125,0.422083333333333,0.682857142857143,0.757142857142857,0.768571428571429,0.762857142857143,0.98,0.352083333333333,0.218333333333333
15,8,0.143725717992386,0.0481530560647977,3.13741782648765,0.498088766708015,0.636969696969697,0.524285714285714,0.596428571428572,0.623571428571429,0.581428571428572,0.63125,0.76875,0.8025,0.734166666666667,0.592142857142857,0.664285714285714,0.677857142857143,0.671071428571428,0.85,0.53,0.65
16,27,0.04458899293668,0.371352517409347,15.2387750275717,-0.785599696940152,0.0915151515151516,0.153571428571428,0.0228571428571429,0.0235714285714286,0.0666666666666666,0.2325,0.115,0.0575,0.135,0.865714285714287,0.860714285714286,0.872857142857143,0.866785714285714,1,0.114583333333333,0.00277777777777778
