SubjectNumber,Age,WASI,Hit,FA,dPrime,MeanRiskAll,MeanRiskBlockEqEV1,MeanRiskBlockEqEV2,MeanRiskBlockEqEV3,MeanRiskOverallEqEV,MeanRiskBlockUnEqEV1,MeanRiskBlockUnEqEV2,MeanRiskBlockUnEqEV3,MeanRiskOverallUnEqEV,MeanTestBlock1,MeanTestBlock2,MeanTestBlock3,MeanTestBlocks2and3,UsableData,Tanner,DOSPERT,BIS11,BAS_Drive,BAS_Fun_Seeking,BAS_Reward_Response,BAS_total,BIS,Gender,Reward,RiskySafeAcc,ValueAcc
1,27,128,0.633879781,0.300546448,0.864976294,0.590909091,0.5,0.571428571,0.714285714,0.595238095,0.375,0.75,0.625,0.583333333,0.5,0.857142857,0.571428571,0.714285714,1,NA,0.580952381,2.444444444,15,14,15,44,21,M,4840,0.8,0.8
2,12,125,0.579234973,0.06010929,1.753793538,0.363636364,0.428571429,0.214285714,0.071428571,0.238095238,0.5,0.75,0.5,0.583333333,0.428571429,0.785714286,0.714285714,0.75,1,2,0.403571429,2,10,10,19,39,19,M,4900,0.8,0.8
3,19,108,0.510989011,0.108695652,1.261043412,0.287878788,0.357142857,0.428571429,0.214285714,0.333333333,0.625,0,0,0.208333333,0.785714286,0.785714286,0.785714286,0.785714286,1,NA,0.719047619,2.722222222,16,15,20,51,19,M,4820,0.6,0.8
4,11,84,0.595628415,0.322404372,0.703033612,0.863636364,0.785714286,0.785714286,0.928571429,0.833333333,0.875,1,0.875,0.916666667,0.785714286,0.785714286,0.928571429,0.857142857,1,2,0.332142857,2.666666667,13,14,17,44,18,M,5180,1,1
5,12,108,0.49726776,0.240437158,0.698048268,0.621212121,0.571428571,0.714285714,0.357142857,0.547619048,0.75,0.875,0.625,0.75,0.571428571,0.928571429,1,0.964285714,1,1.33333,0.364285714,1.555555556,8,10,15,33,18,M,5060,1,1
6,23,140,0.628415301,0.240437158,1.032556175,0.621212121,0.285714286,0.642857143,0.428571429,0.452380952,0.875,0.875,1,0.916666667,0.857142857,1,1,1,1,NA,0.457142857,1.777777778,14,11,19,44,15,M,5360,1,1
7,10,105,0.588888889,0.129032258,1.355665323,0.681818182,0.5,0.785714286,0.714285714,0.666666667,0.625,0.625,0.875,0.708333333,0.571428571,0.857142857,0.928571429,0.892857143,1,1,0.471428571,1.722222222,9,11,18,38,22,M,5060,0.8,0.6
8,22,106,0.508196721,0.202185792,0.854386811,0.409090909,0.5,0.571428571,0.214285714,0.428571429,0.625,0.5,0,0.375,0.571428571,0.785714286,0.714285714,0.75,1,NA,0.542857143,2.666666667,10,12,16,38,25,M,4820,0.8,0.6
9,19,109,0.513661202,0.229508197,0.77471772,0.575757576,0.5,0.571428571,0.5,0.523809524,0.5,0.75,0.75,0.666666667,0.5,0.928571429,0.928571429,0.928571429,1,NA,0.547619048,2.222222222,10,15,18,43,27,F,4980,1,1
10,16,120,0.327868852,0.049180328,1.207048072,0.409090909,0.071428571,0.357142857,0.285714286,0.238095238,0.375,0.75,1,0.708333333,0.714285714,0.928571429,1,0.964285714,1,4.5,0.736401674,2.166666667,10,12,18,40,23,F,5060,1,1
11,10,116,0.655737705,0.038251366,2.172206822,0.515151515,0.214285714,0.428571429,0.357142857,0.333333333,1,0.75,0.75,0.833333333,0.785714286,0.714285714,0.785714286,0.75,1,1,0.382142857,1.888888889,9,10,17,36,21,F,5100,0.8,0.4
12,25,109,0.775956284,0.322404372,1.219593291,0.606060606,0.428571429,0.571428571,0.571428571,0.523809524,0.875,0.75,0.625,0.75,0.5,1,1,1,1,NA,0.361904762,1.5,8,7,15,30,27,F,5000,1,1
13,14,136,0.461538462,0.10326087,1.166629065,0.803030303,0.571428571,0.857142857,1,0.80952381,0.75,0.875,0.75,0.791666667,0.5,0.571428571,0.857142857,0.714285714,1,3,0.456066946,1.833333333,10,11,17,38,19,M,4880,0.6,0.8
14,27,89,0.524590164,0.426229508,0.247659305,0.363636364,0.5,0.214285714,0.285714286,0.333333333,0.375,0.375,0.5,0.416666667,0.714285714,0.785714286,0.857142857,0.821428571,1,NA,0.323809524,1.833333333,10,11,16,37,18,F,4840,0.6,0.6
15,8,123,0.225274725,0.043478261,0.957175982,0.590909091,0.357142857,0.571428571,0.642857143,0.523809524,0.625,0.625,0.875,0.708333333,0.214285714,0.5,1,0.75,1,1,0.7,2.666666667,14,12,20,46,15,M,4700,1,1
16,27,107,0.486338798,0.306010929,0.472939254,0.075757576,0.214285714,0,0,0.071428571,0.25,0,0,0.083333333,0.857142857,0.857142857,0.928571429,0.892857143,1,NA,0.40952381,2.111111111,11,12,17,40,22,F,4760,1,1
17,9,102,0.644808743,0.344262295,0.772200524,0.53030303,0.5,0.642857143,0.357142857,0.5,0.5,0.5,0.75,0.583333333,0.5,0.642857143,0.857142857,0.75,1,1.33333,0.464285714,1.888888889,8,12,13,33,16,M,4920,0.8,1
18,13,94,0.519125683,0.333333333,0.478686656,0.348484848,0.357142857,0.214285714,0.214285714,0.261904762,0.375,0.5,0.625,0.5,0.714285714,0.928571429,0.928571429,0.928571429,1,2,0.594142259,2.166666667,10,11,16,37,16,M,4900,1,1
19,9,123,0.383333333,0.311827957,0.193937751,0.590909091,0.5,0.5,0.5,0.5,0.75,0.625,0.875,0.75,0.428571429,0.857142857,0.928571429,0.892857143,1,1.33333,0.271428571,2.277777778,14,12,20,46,20,M,4960,1,1
20,17,112,0.513661202,0.262295082,0.670536043,0.090909091,0.071428571,0,0.071428571,0.047619048,0.125,0.125,0.25,0.166666667,0.714285714,0.928571429,0.857142857,0.892857143,1,5,0.644351464,2.388888889,11,12,17,40,20,F,4820,0.8,0.6
21,20,111,0.530054645,0.142076503,1.146443754,0.318181818,0.214285714,0.214285714,0.428571429,0.285714286,0.375,0.25,0.5,0.375,0.642857143,0.928571429,1,0.964285714,1,NA,0.442857143,2,9,7,17,33,25,F,4980,1,1
22,8,120,0.846590909,0.447368421,1.154234086,0.515151515,0.142857143,0.357142857,0.642857143,0.380952381,0.5,0.875,0.875,0.75,0.928571429,0.857142857,1,0.928571429,1,2.5,0.407142857,2.277777778,13,12,19,44,18,F,5140,1,0.8
23,26,123,0.624309392,0.286486486,0.880497115,0.409090909,0.214285714,0.642857143,0.071428571,0.30952381,0.625,0.625,0.5,0.583333333,0.714285714,0.857142857,0.928571429,0.892857143,1,NA,0.604761905,2.555555556,12,11,19,42,27,M,5040,1,1
24,11,118,0.519125683,0.300546448,0.570788875,0.651515152,0.357142857,0.571428571,0.571428571,0.5,0.75,1,1,0.916666667,0.785714286,0.928571429,1,0.964285714,1,1.3333,0.239285714,1.5,10,9,15,34,17,M,5360,1,1
